#,Custom Panel (X),SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat and Human Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
1,,18395-5,ADPRH,[Protein ADP-ribosylarginine] hydrolase,P54922,ADPRH,,,,,,,,,,,,,,,,TGF-α – NOT THERE
2,,5227-60,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",Q15118,PDK1,,,,,,,,,,,,,,,,
3,,12651-21,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",Q15119,PDK2,X,,,,,,,,,,,,,,,
4,,22005-8,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Q9P0J1,PDP1,,,X,,,,,,,,,,,,,
5,,12457-10,MTND,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",Q9BV57,ADI1,,,,,,,,,,,,,,,,
6,,17150-8,HSP 10,"10 kDa heat shock protein, mitochondrial",P61604,HSPE1,X,,,,,,,,,,,,,,,
7,,16882-27,PHP14,14 kDa phosphohistidine phosphatase,Q9NRX4,PHPT1,,,,,,,,,,,,,,,,
8,,12414-31,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,P31946,YWHAB,,,,,,,,,,,,,,,,
9,,14156-33,14-3-3 protein beta/alpha,14-3-3 protein beta/alpha,P31946,YWHAB,,,,,,,,,,,,,,,,
10,,14157-21,14-3-3E,14-3-3 protein epsilon,P62258,YWHAE,,,,,,,,,,X,,,X,,X,
11,,22049-24,14-3-3 eta,14-3-3 protein eta,Q04917,YWHAH,X,,X,,,,,,,,,,,,,
12,,4707-50,14-3-3 eta,14-3-3 protein eta,Q04917,YWHAH,,,,,,,,,,,,,,,,
13,,4179-57,14-3-3 protein gamma,14-3-3 protein gamma,P61981,YWHAG,,,,,,,,,,,,,,,,
14,,8901-40,14-3-3 protein gamma,14-3-3 protein gamma,P61981,YWHAG,,,,,,,,,,,,,,,,
15,,4829-43,STRATIFIN,14-3-3 protein sigma,P31947,SFN,,,,X,,,,,,X,,,X,,X,
16,,7625-27,14-3-3 protein theta,14-3-3 protein theta,P27348,YWHAQ,,,,,,,,,,X,,,X,,X,
17,,5858-6,14-3-3 protein zeta/delta,14-3-3 protein zeta/delta,P63104,YWHAZ,,,,X,,,,,,X,,,X,,X,
18,,20087-3,selenoprotein15,15 kDa selenoprotein,O60613,SELENOF,,,,,,,,,,,,,,,,
19,,4995-16,HPG-,15-hydroxyprostaglandin dehydrogenase [NAD(+)],P15428,HPGD,,,,X,,,,,,,,,,,,
20,,13972-4,DHB14,17-beta-hydroxysteroid dehydrogenase 14,Q9BPX1,HSD17B14,,,,,,,,,,,,,,,,
21,,23393-56,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,Q8WTS1,ABHD5,,,X,,,,,,,,,,,,,
22,,11354-21,Phospholipase C-beta-1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",Q9NQ66,PLCB1,,,,,,,,,,,,,,,,
23,,25949-3,PLCD3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",Q8N3E9,PLCD3,,,,,,,,,,,,,,,,
24,,4563-61,PLCG1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",P19174,PLCG1,,X,,X,,,,,,X,,,X,,X,
25,,10070-22,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",P16885,PLCG2,,X,,,,,,,,,,,,,,
26,,24909-40,Phospholipase C-delta-1,"1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase delta-1",P51178,PLCD1,,,,,,,,,,,,,,,,
27,,23670-11,DPH2,2-(3-amino-3-carboxypropyl)histidine synthase subunit 2,Q9BQC3,DPH2,,,,,,,,,,,,,,,,
28,,6609-22,CN37,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",P09543,CNP,,,,,,,,,,,,,,,,
29,,12687-2,DECR,"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,DECR1,X,,X,,,,,,,,,,,,,
30,,10361-25,OAS1,2'-5'-oligoadenylate synthase 1,P00973,OAS1,,X,,,,,,,,,,,,,,
31,,25941-4,OA synthetase,2'-5'-oligoadenylate synthetase like protein,Q15646,OASL,,X,,,,,,,,,,,,,,
